自定义整理,#genre#
CCTV1,http://60.255.120.30:89/live2/live2.m3u8
CCTV1,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
CCTV1,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV1,http://hms104nc1972679567.live.aikan.miguvideo.com/wh7f454c46tw1527236682_-1078217348/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=14.145.29.204&timestamp=20231130022447&ContentId=265183188&timezone=UTC&mtv_session=962d02dbffb344d0ff4107d62df587ff&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=930bd9206841d7889d242297864719d5

CCTV11,http://hms324nc1972679589.live.aikan.miguvideo.com/wh7f454c46tw2021811525_681070453/migu/kailu/cctv11hd/57/20200103/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=47.94.105.9&timestamp=20231126090419&ContentId=265667429&timezone=UTC&mtv_session=2d8da3a0c66aee0384b616c201ddcf58&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=63062f51fbdd148f66e8a68ff0bad8bd

浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8

绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8?zzhed



央视,#genre#
